"","species","province","X","garden","variant","latitude","longitude","country","IUCNRedList","ECO_CODE","ECO_NAME","geometry","Group","crop"
"104","Acer rubrum","Ontario",254,"University of Guelph Arboretum","",44.41269107,-79.89972421,"Canada",NA,"NA0404","Great Lakes",c(-79.89972421, 44.41269107),"Trees","Maple"
"105","Acer rubrum","Ontario",255,"University of Guelph Arboretum","",44.41269107,-79.89972421,"Canada",NA,"NA0404","Great Lakes",c(-79.89972421, 44.41269107),"Trees","Maple"
"106","Acer rubrum","Ontario",258,"University of Guelph Arboretum","",44.41269107,-79.89972421,"Canada",NA,"NA0404","Great Lakes",c(-79.89972421, 44.41269107),"Trees","Maple"
"107","Acer rubrum","Ontario",261,"University of Guelph Arboretum","",44.41269107,-79.89972421,"Canada",NA,"NA0404","Great Lakes",c(-79.89972421, 44.41269107),"Trees","Maple"
"108","Acer rubrum","Ontario",263,"University of Guelph Arboretum","",43.93448804,-80.91652367,"Canada",NA,"NA0404","Great Lakes",c(-80.91652367, 43.93448804),"Trees","Maple"
"109","Acer rubrum","Ontario",274,"University of Guelph Arboretum","",43.93448804,-80.91652367,"Canada",NA,"NA0404","Great Lakes",c(-80.91652367, 43.93448804),"Trees","Maple"
"110","Acer rubrum","Ontario",275,"University of Guelph Arboretum","",43.93448804,-80.91652367,"Canada",NA,"NA0404","Great Lakes",c(-80.91652367, 43.93448804),"Trees","Maple"
"111","Acer rubrum","Ontario",279,"University of Guelph Arboretum","",44.41269107,-79.89972421,"Canada",NA,"NA0404","Great Lakes",c(-79.89972421, 44.41269107),"Trees","Maple"
"112","Acer rubrum","Ontario",280,"University of Guelph Arboretum","",44.41269107,-79.89972421,"Canada",NA,"NA0404","Great Lakes",c(-79.89972421, 44.41269107),"Trees","Maple"
"113","Acer rubrum","Ontario",283,"University of Guelph Arboretum","",44.41269107,-79.89972421,"Canada",NA,"NA0404","Great Lakes",c(-79.89972421, 44.41269107),"Trees","Maple"
"114","Acer rubrum","Ontario",285,"University of Guelph Arboretum","",44.41269107,-79.89972421,"Canada",NA,"NA0404","Great Lakes",c(-79.89972421, 44.41269107),"Trees","Maple"
"115","Acer rubrum","Ontario",288,"University of Guelph Arboretum","",44.41269107,-79.89972421,"Canada",NA,"NA0404","Great Lakes",c(-79.89972421, 44.41269107),"Trees","Maple"
"116","Acer rubrum","Ontario",289,"University of Guelph Arboretum","",44.41269107,-79.89972421,"Canada",NA,"NA0404","Great Lakes",c(-79.89972421, 44.41269107),"Trees","Maple"
"117","Acer rubrum","Ontario",290,"University of Guelph Arboretum","",44.41269107,-79.89972421,"Canada",NA,"NA0404","Great Lakes",c(-79.89972421, 44.41269107),"Trees","Maple"
"118","Acer rubrum","Ontario",291,"University of Guelph Arboretum","",44.41269107,-79.89972421,"Canada",NA,"NA0404","Great Lakes",c(-79.89972421, 44.41269107),"Trees","Maple"
"119","Acer rubrum","Ontario",293,"University of Guelph Arboretum","",44.41269107,-79.89972421,"Canada",NA,"NA0404","Great Lakes",c(-79.89972421, 44.41269107),"Trees","Maple"
"120","Acer rubrum","Ontario",294,"University of Guelph Arboretum","",44.41269107,-79.89972421,"Canada",NA,"NA0404","Great Lakes",c(-79.89972421, 44.41269107),"Trees","Maple"
"121","Acer rubrum","Ontario",296,"University of Guelph Arboretum","",44.41269107,-79.89972421,"Canada",NA,"NA0404","Great Lakes",c(-79.89972421, 44.41269107),"Trees","Maple"
"122","Acer rubrum","Ontario",297,"University of Guelph Arboretum","",44.41269107,-79.89972421,"Canada",NA,"NA0404","Great Lakes",c(-79.89972421, 44.41269107),"Trees","Maple"
"123","Acer rubrum","Nova Scotia",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA),"Trees","Maple"
"124","Acer rubrum","New Brunswick",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA),"Trees","Maple"
"125","Acer rubrum","Prince Edward Island",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA),"Trees","Maple"
"126","Acer rubrum","Newfoundland and Labrador",NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA),"Trees","Maple"
"127","Acer saccharinum","Ontario",308,"University of Guelph Arboretum","",43.36207605,-80.12006058,"Canada",NA,"NA0404","Great Lakes",c(-80.12006058, 43.36207605),"Trees","Maple"
"128","Acer saccharinum","Ontario",309,"University of Guelph Arboretum","",43.36207605,-80.12006058,"Canada",NA,"NA0404","Great Lakes",c(-80.12006058, 43.36207605),"Trees","Maple"
"129","Acer saccharinum","Ontario",310,"University of Guelph Arboretum","",43.36207605,-80.12006058,"Canada",NA,"NA0404","Great Lakes",c(-80.12006058, 43.36207605),"Trees","Maple"
"130","Acer saccharinum","Ontario",312,"University of Guelph Arboretum","",43.36207605,-80.12006058,"Canada",NA,"NA0404","Great Lakes",c(-80.12006058, 43.36207605),"Trees","Maple"
