"","garden","crop","species","variant","latitude","longitude","country","province","IUCNRedList"
"164","University of Guelph Arboretum","Maple","Acer rubrum","","","","","NA","NA"
"165","University of Guelph Arboretum","Maple","Acer rubrum","","","","","NA","NA"
"166","University of Guelph Arboretum","Maple","Acer rubrum","","43.93448804","-80.91652367","Canada","NA","NA"
"167","University of Guelph Arboretum","Maple","Acer rubrum","","43.93448804","-80.91652367","Canada","NA","NA"
"168","University of Guelph Arboretum","Maple","Acer rubrum","","","","","NA","NA"
"169","University of Guelph Arboretum","Maple","Acer rubrum","","","","","NA","NA"
"170","University of Guelph Arboretum","Maple","Acer rubrum","","","","Canada","NA","NA"
"171","University of Guelph Arboretum","Maple","Acer rubrum","","","","","NA","NA"
"172","University of Guelph Arboretum","Maple","Acer rubrum","","","","","NA","NA"
"173","University of Guelph Arboretum","Maple","Acer rubrum","","","","Canada","NA","NA"
"174","University of Guelph Arboretum","Maple","Acer rubrum","","","","","NA","NA"
"175","University of Guelph Arboretum","Maple","Acer rubrum","","","","","NA","NA"
"176","University of Guelph Arboretum","Maple","Acer rubrum","","","","","NA","NA"
"177","University of Guelph Arboretum","Maple","Acer rubrum","","","","Canada","NA","NA"
"178","University of Guelph Arboretum","Maple","Acer rubrum","","","","Canada","NA","NA"
"179","University of Guelph Arboretum","Maple","Acer rubrum","","","","Canada","NA","NA"
"180","University of Guelph Arboretum","Maple","Acer rubrum","","","","Canada","NA","NA"
"181","University of Guelph Arboretum","Maple","Acer rubrum","","","","Canada","NA","NA"
"182","University of Guelph Arboretum","Maple","Acer rubrum","","","","Canada","NA","NA"
"183","University of Guelph Arboretum","Maple","Acer rubrum","","","","Canada","NA","NA"
"184","University of Guelph Arboretum","Maple","Acer rubrum","","","","Canada","NA","NA"
"185","University of Guelph Arboretum","Maple","Acer rubrum","","","","Canada","NA","NA"
"186","University of Guelph Arboretum","Maple","Acer rubrum","","","","Canada","NA","NA"
"187","University of Guelph Arboretum","Maple","Acer rubrum","","","","","NA","NA"
"188","University of Guelph Arboretum","Maple","Acer rubrum","","43.93448804","-80.91652367","Canada","NA","NA"
"189","University of Guelph Arboretum","Maple","Acer rubrum","","43.93448804","-80.91652367","Canada","NA","NA"
"190","University of Guelph Arboretum","Maple","Acer rubrum","","","","","NA","NA"
"191","University of Guelph Arboretum","Maple","Acer rubrum","","","","Canada","NA","NA"
"192","University of Guelph Arboretum","Maple","Acer rubrum","","","","Canada","NA","NA"
"193","University of Guelph Arboretum","Maple","Acer rubrum","","","","Canada","NA","NA"
"194","University of Guelph Arboretum","Maple","Acer rubrum","","","","Canada","NA","NA"
"195","University of Guelph Arboretum","Maple","Acer rubrum","","","","Canada","NA","NA"
"196","University of Guelph Arboretum","Maple","Acer rubrum","","","","Canada","NA","NA"
"197","University of Guelph Arboretum","Maple","Acer rubrum","","","","","NA","NA"
"198","University of Guelph Arboretum","Maple","Acer rubrum","","","","","NA","NA"
"199","University of Guelph Arboretum","Maple","Acer rubrum","","","","Canada","NA","NA"
"200","University of Guelph Arboretum","Maple","Acer rubrum","","","","Canada","NA","NA"
"201","University of Guelph Arboretum","Maple","Acer rubrum","","","","Canada","NA","NA"
"202","University of Guelph Arboretum","Maple","Acer rubrum","","","","Canada","NA","NA"
"203","University of Guelph Arboretum","Maple","Acer rubrum","","","","Canada","NA","NA"
"204","University of Guelph Arboretum","Maple","Acer rubrum","","43.93448804","-80.91652367","Canada","NA","NA"
"205","University of Guelph Arboretum","Maple","Acer rubrum","","43.93448804","-80.91652367","Canada","NA","NA"
"206","University of Guelph Arboretum","Maple","Acer rubrum","","44.41269107","-79.89972421","Canada","NA","NA"
"207","University of Guelph Arboretum","Maple","Acer rubrum","","43.93448804","-80.91652367","Canada","NA","NA"
"208","University of Guelph Arboretum","Maple","Acer rubrum","","43.93448804","-80.91652367","Canada","NA","NA"
"209","University of Guelph Arboretum","Maple","Acer rubrum","","","","","NA","NA"
"210","University of Guelph Arboretum","Maple","Acer rubrum","","43.93448804","-80.91652367","Canada","NA","NA"
"211","University of Guelph Arboretum","Maple","Acer rubrum","","42.5641","-81.624983","Canada","NA","NA"
"212","University of Guelph Arboretum","Maple","Acer rubrum","","","","Canada","NA","NA"
"213","University of Guelph Arboretum","Maple","Acer rubrum","","43.93448804","-80.91652367","Canada","NA","NA"
"214","University of Guelph Arboretum","Maple","Acer rubrum","","43.93448804","-80.91652367","Canada","NA","NA"
"215","University of Guelph Arboretum","Maple","Acer rubrum","","43.93448804","-80.91652367","Canada","NA","NA"
"216","University of Guelph Arboretum","Maple","Acer rubrum","","","","","NA","NA"
"217","University of Guelph Arboretum","Maple","Acer rubrum","","","","Canada","NA","NA"
"218","University of Guelph Arboretum","Maple","Acer rubrum","","","","Canada","NA","NA"
"219","University of Guelph Arboretum","Maple","Acer rubrum","","","","Canada","NA","NA"
"220","University of Guelph Arboretum","Maple","Acer rubrum","","","","Canada","NA","NA"
"221","University of Guelph Arboretum","Maple","Acer rubrum","","44.41269107","-79.89972421","Canada","NA","NA"
"222","University of Guelph Arboretum","Maple","Acer rubrum","","44.41269107","-79.89972421","Canada","NA","NA"
"223","University of Guelph Arboretum","Maple","Acer rubrum","","44.41269107","-79.89972421","Canada","NA","NA"
"224","University of Guelph Arboretum","Maple","Acer rubrum","","","","Canada","NA","NA"
"225","University of Guelph Arboretum","Maple","Acer rubrum","","42.5641","-81.624983","Canada","NA","NA"
"226","University of Guelph Arboretum","Maple","Acer rubrum","Morgan'","","","Canada","NA","NA"
"227","University of Guelph Arboretum","Maple","Acer rubrum","","","","Canada","NA","NA"
"228","University of Guelph Arboretum","Maple","Acer rubrum","","","","Canada","NA","NA"
"229","University of Guelph Arboretum","Maple","Acer rubrum","","","","Canada","NA","NA"
"230","University of Guelph Arboretum","Maple","Acer rubrum","","","","Canada","NA","NA"
"231","University of Guelph Arboretum","Maple","Acer rubrum","","43.93448804","-80.91652367","Canada","NA","NA"
"232","University of Guelph Arboretum","Maple","Acer rubrum","","43.93448804","-80.91652367","Canada","NA","NA"
"233","University of Guelph Arboretum","Maple","Acer rubrum","","43.93448804","-80.91652367","Canada","NA","NA"
"234","University of Guelph Arboretum","Maple","Acer rubrum","","","","Canada","NA","NA"
"235","University of Guelph Arboretum","Maple","Acer rubrum","","","","Canada","NA","NA"
"236","University of Guelph Arboretum","Maple","Acer rubrum","","","","Canada","NA","NA"
"237","University of Guelph Arboretum","Maple","Acer rubrum","Bowhall'","","","Canada","NA","NA"
"238","University of Guelph Arboretum","Maple","Acer rubrum","","43.93448804","-80.91652367","Canada","NA","NA"
"239","University of Guelph Arboretum","Maple","Acer rubrum","","43.93448804","-80.91652367","Canada","NA","NA"
"240","University of Guelph Arboretum","Maple","Acer rubrum","","","","","NA","NA"
"241","University of Guelph Arboretum","Maple","Acer rubrum","","","","","NA","NA"
"242","University of Guelph Arboretum","Maple","Acer rubrum","","","","","NA","NA"
"243","University of Guelph Arboretum","Maple","Acer rubrum","","","","Canada","NA","NA"
"244","University of Guelph Arboretum","Maple","Acer rubrum","","44.524171","-76.46553","Canada","NA","NA"
"245","University of Guelph Arboretum","Maple","Acer rubrum","","","","","NA","NA"
"246","University of Guelph Arboretum","Maple","Acer rubrum","","44.524171","-76.46553","Canada","NA","NA"
"247","University of Guelph Arboretum","Maple","Acer rubrum","Armstrong'","","","Canada","NA","NA"
"248","University of Guelph Arboretum","Maple","Acer rubrum","Armstrong'","","","Canada","NA","NA"
"249","University of Guelph Arboretum","Maple","Acer rubrum","Armstrong'","","","Canada","NA","NA"
"250","University of Guelph Arboretum","Maple","Acer rubrum","Schlesingeri'","","","Canada","NA","NA"
"251","University of Guelph Arboretum","Maple","Acer rubrum","","44.41269107","-79.89972421","Canada","NA","NA"
"252","University of Guelph Arboretum","Maple","Acer rubrum","Morgan'","","","Canada","NA","NA"
"253","University of Guelph Arboretum","Maple","Acer rubrum","","44.41269107","-79.89972421","Canada","NA","NA"
"254","University of Guelph Arboretum","Maple","Acer rubrum","","44.41269107","-79.89972421","Canada","NA","NA"
"255","University of Guelph Arboretum","Maple","Acer rubrum","","44.41269107","-79.89972421","Canada","NA","NA"
"256","University of Guelph Arboretum","Maple","Acer rubrum","","","","Canada","NA","NA"
"257","University of Guelph Arboretum","Maple","Acer rubrum","","","","Canada","NA","NA"
"258","University of Guelph Arboretum","Maple","Acer rubrum","","44.41269107","-79.89972421","Canada","NA","NA"
"259","University of Guelph Arboretum","Maple","Acer rubrum","","","","Canada","NA","NA"
"260","University of Guelph Arboretum","Maple","Acer rubrum","","","","Canada","NA","NA"
"261","University of Guelph Arboretum","Maple","Acer rubrum","","44.41269107","-79.89972421","Canada","NA","NA"
"262","University of Guelph Arboretum","Maple","Acer rubrum","Tilford'","","","Canada","NA","NA"
"263","University of Guelph Arboretum","Maple","Acer rubrum","","43.93448804","-80.91652367","Canada","NA","NA"
"264","University of Guelph Arboretum","Maple","Acer rubrum","Schlesingeri'","","","Canada","NA","NA"
"265","University of Guelph Arboretum","Maple","Acer rubrum","","","","Canada","NA","NA"
"266","University of Guelph Arboretum","Maple","Acer rubrum","","","","Canada","NA","NA"
"267","University of Guelph Arboretum","Maple","Acer rubrum","","","","Canada","NA","NA"
"268","University of Guelph Arboretum","Maple","Acer rubrum","","","","Canada","NA","NA"
"269","University of Guelph Arboretum","Maple","Acer rubrum","","","","Canada","NA","NA"
"270","University of Guelph Arboretum","Maple","Acer rubrum","","","","Canada","NA","NA"
"271","University of Guelph Arboretum","Maple","Acer rubrum","","","","","NA","NA"
"272","University of Guelph Arboretum","Maple","Acer rubrum","October Glory'","","","United States of America","NA","NA"
"273","University of Guelph Arboretum","Maple","Acer rubrum","","","","","NA","NA"
"274","University of Guelph Arboretum","Maple","Acer rubrum","","43.93448804","-80.91652367","Canada","NA","NA"
"275","University of Guelph Arboretum","Maple","Acer rubrum","","43.93448804","-80.91652367","Canada","NA","NA"
"276","University of Guelph Arboretum","Maple","Acer rubrum","","","","","NA","NA"
"277","University of Guelph Arboretum","Maple","Acer rubrum","October Glory'","","","United States of America","NA","NA"
"278","University of Guelph Arboretum","Maple","Acer rubrum","","","","Canada","NA","NA"
"279","University of Guelph Arboretum","Maple","Acer rubrum","","44.41269107","-79.89972421","Canada","NA","NA"
"280","University of Guelph Arboretum","Maple","Acer rubrum","","44.41269107","-79.89972421","Canada","NA","NA"
"281","University of Guelph Arboretum","Maple","Acer rubrum","","","","","NA","NA"
"282","University of Guelph Arboretum","Maple","Acer rubrum","Scanlon'","","","Canada","NA","NA"
"283","University of Guelph Arboretum","Maple","Acer rubrum","","44.41269107","-79.89972421","Canada","NA","NA"
"284","University of Guelph Arboretum","Maple","Acer rubrum","","","","Canada","NA","NA"
"285","University of Guelph Arboretum","Maple","Acer rubrum","","44.41269107","-79.89972421","Canada","NA","NA"
"286","University of Guelph Arboretum","Maple","Acer rubrum","Morgan'","","","Canada","NA","NA"
"287","University of Guelph Arboretum","Maple","Acer rubrum","","","","","NA","NA"
"288","University of Guelph Arboretum","Maple","Acer rubrum","","44.41269107","-79.89972421","Canada","NA","NA"
"289","University of Guelph Arboretum","Maple","Acer rubrum","","44.41269107","-79.89972421","Canada","NA","NA"
"290","University of Guelph Arboretum","Maple","Acer rubrum","","44.41269107","-79.89972421","Canada","NA","NA"
"291","University of Guelph Arboretum","Maple","Acer rubrum","","44.41269107","-79.89972421","Canada","NA","NA"
"292","University of Guelph Arboretum","Maple","Acer rubrum","Morgan'","","","Canada","NA","NA"
"293","University of Guelph Arboretum","Maple","Acer rubrum","","44.41269107","-79.89972421","Canada","NA","NA"
"294","University of Guelph Arboretum","Maple","Acer rubrum","","44.41269107","-79.89972421","Canada","NA","NA"
"295","University of Guelph Arboretum","Maple","Acer rubrum","Morgan'","","","Canada","NA","NA"
"296","University of Guelph Arboretum","Maple","Acer rubrum","","44.41269107","-79.89972421","Canada","NA","NA"
"297","University of Guelph Arboretum","Maple","Acer rubrum","","44.41269107","-79.89972421","Canada","NA","NA"
"298","University of Guelph Arboretum","Maple","Acer rubrum","","","","Canada","NA","NA"
"299","University of Guelph Arboretum","Maple","Acer rubrum","Morgan'","","","Canada","NA","NA"
"300","University of Guelph Arboretum","Maple","Acer saccharinum","","","","","NA","NA"
"301","University of Guelph Arboretum","Maple","Acer saccharinum","","","","","NA","NA"
"302","University of Guelph Arboretum","Maple","Acer saccharinum","","41.81138836","-82.85521028","Canada","NA","NA"
"303","University of Guelph Arboretum","Maple","Acer saccharinum","","","","","NA","NA"
"304","University of Guelph Arboretum","Maple","Acer saccharinum","","","","","NA","NA"
"305","University of Guelph Arboretum","Maple","Acer saccharinum","","41.81138836","-82.85521028","Canada","NA","NA"
"306","University of Guelph Arboretum","Maple","Acer saccharinum","","41.81138836","-82.85521028","Canada","NA","NA"
"307","University of Guelph Arboretum","Maple","Acer saccharinum","","","","Canada","NA","NA"
"308","University of Guelph Arboretum","Maple","Acer saccharinum","","43.36207605","-80.12006058","Canada","NA","NA"
"309","University of Guelph Arboretum","Maple","Acer saccharinum","","43.36207605","-80.12006058","Canada","NA","NA"
"310","University of Guelph Arboretum","Maple","Acer saccharinum","","43.36207605","-80.12006058","Canada","NA","NA"
"311","University of Guelph Arboretum","Maple","Acer saccharinum","","","","Canada","NA","NA"
"312","University of Guelph Arboretum","Maple","Acer saccharinum","","43.36207605","-80.12006058","Canada","NA","NA"
