,Crop,sci_nam,scntfcN,vrbtmSN,ECO_CODE,ECO_NAME,ECODE_NAME,PRENAME,PRFNAME,geometry,
59,Hop,Humulus lupulus,Humulus lupulus L.,Humulus lupulus Linnaeus,NA0417,St. Lawrence - Champlain Valley,NA0417. St. Lawrence - Champlain Valley,Quebec,Quebec,c(-69.882167, 47.549)
60,Lupin,Lupinus polyphyllus,Lupinus polyphyllus Lindl.,Lupinus polyphyllus Lindley,NA0604,Boreal Shield,NA0604. Boreal Shield,Newfoundland and Labrador,Terre-Neuve-et-Labrador,c(-57.449597, 49.180544)
61,Raspberry  Red,Rubus arcticus,Rubus arcticus subsp. stellatus (Sm.) B.Boivin,Rubus arcticus subsp. stellatus (Sm.) Boivin,NA0602,Boreal Cordillera,NA0602. Boreal Cordillera,Yukon,Yukon,c(-137.605972, 60.510047)
62,Wheat,Leymus cinereus,Leymus cinereus (Scribn. & Merr.) Á.Löve,Leymus cinereus (Scribn. & Merr.) A. Löve,NA0808,Fescue-Mixed Grass Prairie,NA0808. Fescue-Mixed Grass Prairie,Alberta,Alberta,c(-112.85139, 49.69501)
63,Mint  Corn,Mentha canadensis,Mentha canadensis L.,Mentha canadensis L.,NA0604,Boreal Shield,NA0604. Boreal Shield,Newfoundland and Labrador,Terre-Neuve-et-Labrador,c(-57.306561, 50.662186)
64,Strawberry,Dasiphora fruticosa,Dasiphora fruticosa Rydb.,Dasiphora fruticosa,NA0608,Taiga Plains,NA0608. Taiga Plains,Northwest Territories,Territoires du Nord-Ouest,c(-118.03, 66.08)
65,Raspberry  Red,Rubus arcticus,Rubus arcticus L.,Rubus arcticus,NA0605,Eastern Taiga Shield,NA0605. Eastern Taiga Shield,Quebec,Quebec,c(-75.58, 52.33)
66,Strawberry,Comarum palustre,Comarum palustre L.,Comarum palustre,NA1108,Southern Arctic,NA1108. Southern Arctic,Northwest Territories,Territoires du Nord-Ouest,c(-133, 69.33)
67,Strawberry,Dasiphora fruticosa,Dasiphora fruticosa Rydb.,Dasiphora fruticosa,NA1109,Taiga Cordillera,NA1109. Taiga Cordillera,Northwest Territories,Territoires du Nord-Ouest,c(-127.58, 62.08)
68,Strawberry,Comarum palustre,Comarum palustre L.,Comarum palustre,NA0606,Hudson Plains,NA0606. Hudson Plains,Manitoba,Manitoba,c(-94.08, 57.75)
69,Strawberry,Dasiphora fruticosa,Dasiphora fruticosa Rydb.,Dasiphora fruticosa,NA0609,Western Taiga Shield,NA0609. Western Taiga Shield,Northwest Territories,Territoires du Nord-Ouest,c(-114.37, 62.45)
70,Raspberry  Red,Rubus arcticus,Rubus acaulis Michx.,Rubus acaulis,NA0608,Taiga Plains,NA0608. Taiga Plains,Northwest Territories,Territoires du Nord-Ouest,c(-121.38, 62.85)
