"","garden","crop","species","variant","latitude","longitude","country","province","IUCNRedList"
"71","Royal Botanical Garden","Saskatoon","Amelanchier canadensis","",".",".","","","NA"
"72","Royal Botanical Garden","Saskatoon","Amelanchier canadensis","",".",".","","","NA"
"73","Royal Botanical Garden","Saskatoon","Amelanchier canadensis","",".",".","","","NA"
"74","Royal Botanical Garden","Saskatoon","Amelanchier canadensis","",".",".","","","NA"
"75","Royal Botanical Garden","Saskatoon","Amelanchier canadensis","",".",".","","","NA"
"76","Royal Botanical Garden","Saskatoon","Amelanchier canadensis","",".",".","","","NA"
"77","Royal Botanical Garden","Saskatoon","Amelanchier canadensis","",".",".","","","NA"
"78","Royal Botanical Garden","Saskatoon","Amelanchier canadensis","",".",".","","","NA"
"79","Royal Botanical Garden","Saskatoon","Amelanchier intermedia","",".",".","","","NA"
"80","Royal Botanical Garden","Saskatoon","Amelanchier laevis","",".",".","","","NA"
"81","Royal Botanical Garden","Saskatoon","Amelanchier laevis","",".",".","","","NA"
"82","Royal Botanical Garden","Saskatoon","Amelanchier laevis","",".",".","","","NA"
"83","Royal Botanical Garden","Saskatoon","Amelanchier laevis","",".",".","","","NA"
"84","Royal Botanical Garden","Saskatoon","Amelanchier laevis","",".",".","","","NA"
"85","Royal Botanical Garden","Bluestem","Andropogon gerardii","",".",".","","","NA"
"86","Royal Botanical Garden","Bluestem","Andropogon gerardii","",".",".","","","NA"
"87","Royal Botanical Garden","Pawpaw","Asimina triloba","",".",".","","","NA"
"88","Royal Botanical Garden","Pawpaw","Asimina triloba","",".",".","","","NA"
"89","Royal Botanical Garden","Pawpaw","Asimina triloba","",".",".","","","NA"
"90","Royal Botanical Garden","Birch","Betula lenta","",".",".","Canada","Ontario","NA"
"91","Royal Botanical Garden","Birch","Betula lenta","","43.18333","-79.31666","Canada","Ontario","NA"
"92","Royal Botanical Garden","Birch","Betula papyrifera","",".",".","","","NA"
"93","Royal Botanical Garden","Birch","Betula papyrifera","",".",".","","","NA"
"94","Royal Botanical Garden","Birch","Betula papyrifera","",".",".","","","NA"
"95","Royal Botanical Garden","Birch","Betula papyrifera","",".",".","","","NA"
"96","Royal Botanical Garden","Birch","Betula papyrifera","",".",".","","","NA"
"97","Royal Botanical Garden","Birch","Betula papyrifera","",".",".","","","NA"
"98","Royal Botanical Garden","Birch","Betula papyrifera","",".",".","","","NA"
"99","Royal Botanical Garden","Birch","Betula papyrifera","",".",".","","","NA"
"100","Royal Botanical Garden","Birch","Betula papyrifera","",".",".","","","NA"
"101","Royal Botanical Garden","Birch","Betula papyrifera","",".",".","","","NA"
"102","Royal Botanical Garden","Birch","Betula papyrifera","",".",".","","","NA"
"103","Royal Botanical Garden","Birch","Betula populifolia","",".",".","","","NA"
"104","Royal Botanical Garden","Birch","Betula populifolia","",".",".","United States","Ohio","NA"
"105","Royal Botanical Garden","Birch","Betula populifolia","","45.4","-75.55","Canada","Ontario","NA"
"106","Royal Botanical Garden","Birch","Betula populifolia","Whitespire'",".",".","","","NA"
"107","Royal Botanical Garden","Birch","Betula populifolia","",".",".","","","NA"
"108","Royal Botanical Garden","Birch","Betula populifolia","",".",".","","","NA"
"109","Royal Botanical Garden","Birch","Betula populifolia","",".",".","","","NA"
