Taxon,Family,Genus,species,rank 1,infraspecific 1,rank 2,infraspecific 2,Taxon 2019 final without ranks,Taxon_Khouryetal (2013),Taxon_GRIN Global_2019,CWR_WUS_common_name,Type,Priority 2013,Category 2019 very general,Category 2019 general,Category 2019,Category 2019 confirmed,GRIN Global CWR Primary,GRIN Global CWR Secondary,GRIN Global CWR Tertiary,GRIN Global CWR Graftstock,In GRIN Global  CWR 2019,For ex situ gap analysis,For in situ gap analysis,Note on relation 2019,Relation_to_crop_2013,GP_TG_2013,GP_TG_citation_2013,Occurrence general,Occurrence specific,Distribution_states,Nox_weed,Occurrence_notes,CWR_WUS_citation,Type,Associated_crop_taxon,Associated_crop_common name,Crop or WUS use_very general,Crop or WUS use_general,Crop or WUS use_1,Crop or WUS use_2,Crop or WUS use_3
Phacelia crenulata,Boraginaceae,Phacelia,crenulata,,,,,Phacelia crenulata,Phacelia crenulata,,cleftleaf wildheliotrope,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Native,,,,"NSNDB 2010, Widrlechner pers comm 2011",,,,Restoration,Restoration,restoration,,
Phacelia distans,Boraginaceae,Phacelia,distans,,,,,Phacelia distans,Phacelia distans,,Distant Scorpionweed,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Native,"US: AZ, CA, MA, NV, WI",,,"NSNDB 2010, Widrlechner pers comm 2011",,,,Restoration,Restoration,restoration,,
Phacelia grandiflora,Boraginaceae,Phacelia,grandiflora,,,,,Phacelia grandiflora,Phacelia grandiflora,,Large-flower Scorpionweed,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,,,US: CA,,,"NSNDB 2010, Widrlechner pers comm 2011",,,,Restoration,Restoration,restoration,,
Phacelia hastata,Boraginaceae,Phacelia,hastata,,,,,Phacelia hastata,Phacelia hastata,,Silverleaf phacelia,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Endemic,,,,"NSNDB 2010, Widrlechner pers comm 2011",,,,Restoration,Restoration,restoration,,
Phacelia linearis,Boraginaceae,Phacelia,linearis,,,,,Phacelia linearis,Phacelia linearis,,Threadleaf phacelia,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Endemic,,,,"NSNDB 2010, Widrlechner pers comm 2011",,,,Restoration,Restoration,restoration,,
Phacelia minor,Boraginaceae,Phacelia,minor,,,,,Phacelia minor,Phacelia minor,,wild canterbury bells,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Native,,,,"NSNDB 2010, Widrlechner pers comm 2011",,,,Ornamental,Ornamental,ornamental,restoration,
Phacelia parryi,Boraginaceae,Phacelia,parryi,,,,,Phacelia parryi,Phacelia parryi,,Parry's phacelia,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Native,,,,"NSNDB 2010, Widrlechner pers comm 2011",,,,Restoration,Restoration,restoration,,
Phacelia ramosissima,Boraginaceae,Phacelia,ramosissima,,,,,Phacelia ramosissima,Phacelia ramosissima,,branching phacelia,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Endemic,,,,"NSNDB 2010, Widrlechner pers comm 2011",,,,Restoration,Restoration,restoration,,
Phacelia sericea,Boraginaceae,Phacelia,sericea,,,,,Phacelia sericea,Phacelia sericea,,Silky Scorpionweed,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Native,"US: AK, AZ, CA, CO, ID, MT, NM, NV, OR, UT, WA, WYCA: AB, BC",,,"NSNDB 2010, Widrlechner pers comm 2011",,,,Restoration,Restoration,restoration,,
Phacelia tanacetifolia,Boraginaceae,Phacelia,tanacetifolia,,,,,Phacelia tanacetifolia,Phacelia tanacetifolia,,lacy phacelia,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Native,,,,"NSNDB 2010, Widrlechner pers comm 2011",,,,Ornamental,Ornamental,ornamental,restoration,soil improver
Phemeranthus parviflorus,Montiaceae,Phemeranthus,parviflorus,,,,,Phemeranthus parviflorus,Phemeranthus parviflorus,,,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Native,,,,Wiersema and León (1999),,,,Ornamental,Ornamental,ornamental,,
Philadelphus lewisii,Hydrangeaceae,Philadelphus,lewisii,,,,,Philadelphus lewisii,Philadelphus lewisii,,Lewis' mock orange,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Native,,,Noxious weed in PR,Wiersema and León (1999),,,,Ornamental,Ornamental,ornamental,forage,restoration
Philadelphus pubescens,Hydrangeaceae,Philadelphus,pubescens,,,,,Philadelphus pubescens,Philadelphus pubescens,,Hoary Mock Orange,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Native,"US: AL, AR, CT, GA, IA, KY, LA, MA, MD, MO, MS, NY, OK, PA, TN, TX, WYCA: ON",,,Khoury pers comm (2012)- related to iconic US species,,,,Ornamental,Ornamental,ornamental,,
Phlebodium aureum,Polypodiaceae,Phlebodium,aureum,,,,,Phlebodium aureum,Phlebodium aureum,,,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Native,,,,Wiersema and León (1999),,,,Ornamental,Ornamental,ornamental,,
Phlebodium decumanum,Polypodiaceae,Phlebodium,decumanum,,,,,Phlebodium decumanum,Phlebodium decumanum,,,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Native,,,,Wiersema and León (1999),,,,Ornamental,Ornamental,ornamental,,
Pholistoma auritum,Boraginaceae,Pholistoma,auritum,,,,,Pholistoma auritum,Pholistoma auritum,,,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Endemic,,,,Wiersema and León (1999),,,,Ornamental,Ornamental,ornamental,,
Phoradendron leucarpum,Santalaceae,Phoradendron,leucarpum,,,,,Phoradendron leucarpum,Phoradendron leucarpum,,mistletoe,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Native,,,,Wiersema and León (1999),,,,Ornamental,Ornamental,ornamental,social,
Phragmites australis,Poaceae,Phragmites,australis,,,,,Phragmites australis,Phragmites australis,,,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Native; naturalized,,Noxious_weed_State,,McGuffin (2000),,,,Medicinal,Medicinal,medicinal,restoration,
Phyla nodiflora,Verbenaceae,Phyla,nodiflora,,,,,Phyla nodiflora,Phyla nodiflora,,,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Native,,,,McGuffin (2000),,,,Medicinal,Medicinal,medicinal,,
Phyllanthus niruri,Phyllanthaceae,Phyllanthus,niruri,,,,,Phyllanthus niruri,Phyllanthus niruri,,,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Native,,,,McGuffin (2000),,,,Medicinal,Medicinal,medicinal,,
Phyllodoce aleutica,Ericaceae,Phyllodoce,aleutica,,,,,Phyllodoce aleutica,Phyllodoce aleutica,,,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Native,,,,Wiersema and León (1999),,,,Ornamental,Ornamental,ornamental,,
Phyllodoce breweri,Ericaceae,Phyllodoce,breweri,,,,,Phyllodoce breweri,Phyllodoce breweri,,,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Endemic,,,,Wiersema and León (1999),,,,Ornamental,Ornamental,ornamental,,
Phyllodoce caerulea,Ericaceae,Phyllodoce,caerulea,,,,,Phyllodoce caerulea,Phyllodoce caerulea,,,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Native,,,,Wiersema and León (1999),,,,Ornamental,Ornamental,ornamental,,
Phyllodoce empetriformis,Ericaceae,Phyllodoce,empetriformis,,,,,Phyllodoce empetriformis,Phyllodoce empetriformis,,,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Native,,,,Wiersema and León (1999),,,,Ornamental,Ornamental,ornamental,,
Physocarpus capitatus,Rosaceae,Physocarpus,capitatus,,,,,Physocarpus capitatus,Physocarpus capitatus,,Pacific ninebark,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Native,,,,"Wiersema and León (1999), Widrlechner pers comm 2011",,,,Ornamental,Ornamental,ornamental,restoration,
Physocarpus malvaceus,Rosaceae,Physocarpus,malvaceus,,,,,Physocarpus malvaceus,Physocarpus malvaceus,,mallow ninebark,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Native,,,,"NSNDB 2010, Widrlechner pers comm 2011",,,,Restoration,Restoration,restoration,,
Physocarpus monogynus,Rosaceae,Physocarpus,monogynus,,,,,Physocarpus monogynus,Physocarpus monogynus,,,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Endemic,,,Noxious weed in 2 states,"Wiersema and León (1999), Widrlechner pers comm 2011",,,,Ornamental,Ornamental,ornamental,,
Physocarpus opulifolius,Rosaceae,Physocarpus,opulifolius,,,,,Physocarpus opulifolius,Physocarpus opulifolius,,ninebark,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Native,,,,"Wiersema and León (1999), Widrlechner pers comm 2011",,,,Ornamental,Ornamental,ornamental,,
Physostegia angustifolia,Lamiaceae,Physostegia,angustifolia,,,,,Physostegia angustifolia,Physostegia angustifolia,,Narrowleaf Physostegia,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,,,"US: AL, AR, GA, IL, KS, LA, MO, MS, OK, TN, TX",,,NSNDB 2010,,,,Restoration,Restoration,restoration,,
Physostegia virginiana,Lamiaceae,Physostegia,virginiana,,,,,Physostegia virginiana,Physostegia virginiana,,obedient plant,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Native,,,,NSNDB 2010,,,,Ornamental,Ornamental,ornamental,restoration,
Phytolacca americana,Phytolaccaceae,Phytolacca,americana,,,,,Phytolacca americana,Phytolacca americana,,pokeweed,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Native,,,,"McGuffin (2000), Widrlechner pers comm 2011",,,,Medicinal,Medicinal,medicinal,ornamental,
Picea breweriana,Pinaceae,Picea,breweriana,,,,,Picea breweriana,Picea breweriana,,Brewer's spruce,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Endemic,,,,"Wiersema and León (1999), Widrlechner pers comm 2011",,,,Ornamental,Ornamental,ornamental,,
Picea engelmannii,Pinaceae,Picea,engelmannii,,,,,Picea engelmannii,Picea engelmannii,,Engelmann Spruce,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Native,,,,"Wiersema and León (1999), Widrlechner pers comm 2011",,,,Forestry,Forestry,wood,ornamental,material
Picea glauca,Pinaceae,Picea,glauca,,,,,Picea glauca,Picea glauca,,White Spruce,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Native,,,,"Wiersema and León (1999), Widrlechner pers comm 2011",,,,Forestry,Forestry,wood,ornamental,material
Picea mariana,Pinaceae,Picea,mariana,,,,,Picea mariana,Picea mariana,,black spruce,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Native,,,,"Wiersema and León (1999), Widrlechner pers comm 2011",,,,Ornamental,Ornamental,ornamental,material,social
Picea pungens,Pinaceae,Picea,pungens,,,,,Picea pungens,Picea pungens,,Colorado blue spruce,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Endemic,,,,"Wiersema and León (1999), Widrlechner pers comm 2011",,,,Ornamental,Ornamental,ornamental,wood,social
Picea rubens,Pinaceae,Picea,rubens,,,,,Picea rubens,Picea rubens,,Red Spruce,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Native,,,,"Wiersema and León (1999), Widrlechner pers comm 2011",,,,Forestry,Forestry,wood,ornamental,material
Picea sitchensis,Pinaceae,Picea,sitchensis,,,,,Picea sitchensis,Picea sitchensis,,Sitka Spruce,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Native,,,,"Wiersema and León (1999), Widrlechner pers comm 2011",,,,Forestry,Forestry,wood,ornamental,material
Picrothamnus desertorum,Asteraceae,Picrothamnus,desertorum,,,,,Picrothamnus desertorum,Picrothamnus desertorum,,,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,Bradly pers comm (2011),Native,Native,,,,Wiersema and León (1999),,,,Food and agriculture,Forage and feed,forage and feed,,
Pieris floribunda,Ericaceae,Pieris,floribunda,,,,,Pieris floribunda,Pieris floribunda,,mountain pieris,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Endemic,,,,"Wiersema and León (1999), Widrlechner pers comm 2011",,,,Ornamental,Ornamental,ornamental,,
Pilea microphylla,Urticaceae,Pilea,microphylla,,,,,Pilea microphylla,Pilea microphylla,,,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Native,,,,Wiersema and León (1999),,,,Ornamental,Ornamental,ornamental,,
Pinellia ternata,Araceae,Pinellia,ternata,,,,,Pinellia ternata,Pinellia ternata,,,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Non Native,Naturalized,,,,McGuffin (2000),,,,Medicinal,Medicinal,medicinal,,
Pinus albicaulis,Pinaceae,Pinus,albicaulis,,,,,Pinus albicaulis,Pinus albicaulis,,White bark Pine,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Native,,,,"Wiersema and León (1999), Widrlechner pers comm 2011",,,,Forestry,Forestry,wood,ornamental,material
Pinus aristata,Pinaceae,Pinus,aristata,,,,,Pinus aristata,Pinus aristata,,bristlecone pine,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Native,,,,"Wiersema and León (1999), Widrlechner pers comm 2011",,,,Forestry,Forestry,wood,,
Pinus arizonica,Pinaceae,Pinus,arizonica,,,,,Pinus arizonica,Pinus arizonica,,,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Native,,,,"Wiersema and León (1999), Widrlechner pers comm 2011",,,,Forestry,Forestry,wood,,
Pinus attenuata,Pinaceae,Pinus,attenuata,,,,,Pinus attenuata,Pinus attenuata,,Knobcone Pine,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Native,"US: CA, OR",,,Khoury pers comm (2012)- related to iconic US species,,,,Forestry,Forestry,forestry,,
Pinus balfouriana subsp. austrina,Pinaceae,Pinus,balfouriana,subsp.,austrina,,,Pinus balfouriana austrina,Pinus balfouriana subsp. austrina,,,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Native,,,,Khoury pers comm (2012)- related to iconic US species,,,,Forestry,Forestry,forestry,,
Pinus balfouriana subsp. balfouriana,Pinaceae,Pinus,balfouriana,subsp.,balfouriana,,,Pinus balfouriana balfouriana,Pinus balfouriana subsp. balfouriana,,,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Native,,,,Khoury pers comm (2012)- related to iconic US species,,,,Forestry,Forestry,forestry,,
Pinus banksiana,Pinaceae,Pinus,banksiana,,,,,Pinus banksiana,Pinus banksiana,,Jack Pine,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Native,,,,"Wiersema and León (1999), Widrlechner pers comm 2011",,,,Forestry,Forestry,wood,ornamental,material
Pinus clausa,Pinaceae,Pinus,clausa,,,,,Pinus clausa,Pinus clausa,,sand pine,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Native,,,,"Wiersema and León (1999), Widrlechner pers comm 2011",,,,Forestry,Forestry,wood,,
Pinus contorta,Pinaceae,Pinus,contorta,,,,,Pinus contorta,Pinus contorta,,Lodgepole Pine,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Native,"US: AK, CA, CO, ID, MT, NE, NV, OR, SD, UT, WA, WYCA: AB, BC, NT, SK, YT",,,Khoury pers comm (2012)- related to iconic US species,,,,Forestry,Forestry,forestry,,
Pinus contorta var. bolanderi,Pinaceae,Pinus,contorta,var.,bolanderi,,,Pinus contorta bolanderi,Pinus contorta var. bolanderi,,Bolander's Beach Pine,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Native,US: CA,,,Khoury pers comm (2012)- related to iconic US species,,,,Forestry,Forestry,forestry,,
Pinus contorta var. contorta,Pinaceae,Pinus,contorta,var.,contorta,,,Pinus contorta contorta,Pinus contorta var. contorta,,Lodgepole Pine,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Native,"US: AK, CA, OR, WACA: BC",,,"Wiersema and León (1999), Widrlechner pers comm 2011",,,,Forestry,Forestry,wood,wood,ornamental
Pinus contorta var. latifolia,Pinaceae,Pinus,contorta,var.,latifolia,,,Pinus contorta latifolia,Pinus contorta var. latifolia,,Tall Lodgepole Pine,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Native,"US: AK, CO, ID, MT, NE, OR, SD, UT, WA, WYCA: AB, BC, NT, SK, YT",,,"Wiersema and León (1999), Widrlechner pers comm 2011",,,,Forestry,Forestry,wood,restoration,
Pinus contorta var. murrayana,Pinaceae,Pinus,contorta,var.,murrayana,,,Pinus contorta murrayana,Pinus contorta var. murrayana,,Murray's Lodgepole Pine,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Native,"US: CA, NV, OR, WA",,,"Wiersema and León (1999), Widrlechner pers comm 2011",,,,Forestry,Forestry,forestry,ornamental,material
Pinus coulteri,Pinaceae,Pinus,coulteri,,,,,Pinus coulteri,Pinus coulteri,,,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Native,,,,"Wiersema and León (1999), Widrlechner pers comm 2011",,,,Ornamental,Ornamental,ornamental,,
Pinus echinata,Pinaceae,Pinus,echinata,,,,,Pinus echinata,Pinus echinata,,Short Leaf Pine,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Native,,,,"Wiersema and León (1999), Widrlechner pers comm 2011",,,,Forestry,Forestry,wood,restoration,material
Pinus elliottii,Pinaceae,Pinus,elliottii,,,,,Pinus elliottii,Pinus elliottii,,Slash Pine,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Native,,,,"Wiersema and León (1999), Widrlechner pers comm 2011",,,,Forestry,Forestry,wood,material,
Pinus elliottii var. densa,Pinaceae,Pinus,elliottii,var.,densa,,,Pinus elliottii densa,Pinus elliottii var. densa,,Florida Slash Pine,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Native,US: FL,,,Khoury pers comm (2012)- related to iconic US species,,,,Forestry,Forestry,forestry,,
Pinus flexilis,Pinaceae,Pinus,flexilis,,,,,Pinus flexilis,Pinus flexilis,,limber pine,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Native,,,,"Wiersema and León (1999), Widrlechner pers comm 2011",,,,Ornamental,Ornamental,ornamental,,
Pinus glabra,Pinaceae,Pinus,glabra,,,,,Pinus glabra,Pinus glabra,,spruce pine,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Native,,,,"Wiersema and León (1999), Widrlechner pers comm 2011",,,,Forestry,Forestry,wood,,
Pinus jeffreyi,Pinaceae,Pinus,jeffreyi,,,,,Pinus jeffreyi,Pinus jeffreyi,,Jeffrey pine,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Native,,,,"Wiersema and León (1999), Widrlechner pers comm 2011",,,,Ornamental,Ornamental,ornamental,material,restoration
Pinus lambertiana,Pinaceae,Pinus,lambertiana,,,,,Pinus lambertiana,Pinus lambertiana,,Sugar Pine,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Native,,,,"Wiersema and León (1999), Widrlechner pers comm 2011",,,,Forestry,Forestry,wood,ornamental,material
Pinus leiophylla,Pinaceae,Pinus,leiophylla,,,,,Pinus leiophylla,Pinus leiophylla,,,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Native,,,,"Wiersema and León (1999), Widrlechner pers comm 2011",,,,Forestry,Forestry,wood,,
Pinus longaeva,Pinaceae,Pinus,longaeva,,,,,Pinus longaeva,Pinus longaeva,,,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Native,,,,"Wiersema and León (1999), Widrlechner pers comm 2011",,,,Ornamental,Ornamental,ornamental,,
Pinus monticola,Pinaceae,Pinus,monticola,,,,,Pinus monticola,Pinus monticola,,Western White Pine,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Native,,,,"Wiersema and León (1999), Widrlechner pers comm 2011",,,,Forestry,Forestry,wood,ornamental,material
Pinus muricata,Pinaceae,Pinus,muricata,,,,,Pinus muricata,Pinus muricata,,,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Native,,,,"Wiersema and León (1999), Widrlechner pers comm 2011",,,,Ornamental,Ornamental,ornamental,,
Pinus nigra,Pinaceae,Pinus,nigra,,,,,Pinus nigra,Pinus nigra,,Austrian pine,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Non Native,naturalized,,,,"Wiersema and León (1999), Widrlechner pers comm 2011",,,,Ornamental,Ornamental,ornamental,material,restoration
Pinus palustris,Pinaceae,Pinus,palustris,,,,,Pinus palustris,Pinus palustris,,longleaf pine,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Native,,,,"Wiersema and León (1999), Widrlechner pers comm 2011",,,,Forestry,Forestry,food additive,material,
Pinus patula,Pinaceae,Pinus,patula,,,,,Pinus patula,Pinus patula,,,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Non Native,naturalized,,,,"Wiersema and León (1999), Widrlechner pers comm 2011",,,,Ornamental,Ornamental,ornamental,material,
Pinus pinaster,Pinaceae,Pinus,pinaster,,,,,Pinus pinaster,Pinus pinaster,,Maritime Pine,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Non Native,naturalized,US: NC,,,Khoury pers comm (2012)- related to iconic US species,,,,Forestry,Forestry,forestry,,
Pinus ponderosa,Pinaceae,Pinus,ponderosa,,,,,Pinus ponderosa,Pinus ponderosa,,Ponderosa Pine,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Native,,,,"Wiersema and León (1999), Widrlechner pers comm 2011",,,,Forestry,Forestry,wood,ornamental,restoration
Pinus ponderosa var. ponderosa,Pinaceae,Pinus,ponderosa,var.,ponderosa,,,Pinus ponderosa ponderosa,Pinus ponderosa var. ponderosa,,Ponderosa Pine,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Native,"US: CA, NV, OR, WACA: BC",,,Khoury pers comm (2012)- related to iconic US species,,,,Forestry,Forestry,forestry,,
Pinus ponderosa var. scopulorum,Pinaceae,Pinus,ponderosa,var.,scopulorum,,,Pinus ponderosa scopulorum,Pinus ponderosa var. scopulorum,,Ponderosa Pine,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Native,"US: AZ, CO, ID, MT, ND, NE, NM, NV, OK, SD, TX, UT, WY",,,Khoury pers comm (2012)- related to iconic US species,,,,Forestry,Forestry,forestry,,
Pinus pungens,Pinaceae,Pinus,pungens,,,,,Pinus pungens,Pinus pungens,,mountain pine,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Native,,,,"Wiersema and León (1999), Widrlechner pers comm 2011",,,,Ornamental,Ornamental,ornamental,material,
Pinus radiata,Pinaceae,Pinus,radiata,,,,,Pinus radiata,Pinus radiata,,Monterey Pine,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Native,,,,"Wiersema and León (1999), Widrlechner pers comm 2011",,,,Forestry,Forestry,wood,ornamental,material
Pinus resinosa,Pinaceae,Pinus,resinosa,,,,,Pinus resinosa,Pinus resinosa,,red pine,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Native,,,,"Wiersema and León (1999), Widrlechner pers comm 2011",,,,Ornamental,Ornamental,ornamental,material,
Pinus rigida,Pinaceae,Pinus,rigida,,,,,Pinus rigida,Pinus rigida,,pitch pine,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Native,,,,"Wiersema and León (1999), Widrlechner pers comm 2011",,,,Forestry,Forestry,wood,,
Pinus sabiniana,Pinaceae,Pinus,sabiniana,,,,,Pinus sabiniana,Pinus sabiniana,,,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Native,,,,"Wiersema and León (1999), Widrlechner pers comm 2011",,,,Forestry,Forestry,wood,,
Pinus serotina,Pinaceae,Pinus,serotina,,,,,Pinus serotina,Pinus serotina,,pond pine,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Native,,,,"Wiersema and León (1999), Widrlechner pers comm 2011",,,,Forestry,Forestry,wood,,
Pinus strobiformis,Pinaceae,Pinus,strobiformis,,,,,Pinus strobiformis,Pinus strobiformis,,southwestern white pine,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Native,,,,"McGuffin (2000), Widrlechner pers comm 2011",,,,Forestry,Forestry,forestry,medicinal,
Pinus strobus,Pinaceae,Pinus,strobus,,,,,Pinus strobus,Pinus strobus,,Eastern White Pine,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Native,,,,"Wiersema and León (1999), Widrlechner pers comm 2011",,,,Forestry,Forestry,wood,medicinal,ornamental
Pinus taeda,Pinaceae,Pinus,taeda,,,,,Pinus taeda,Pinus taeda,,Loblolly Pine,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Native,,,,"Wiersema and León (1999), Widrlechner pers comm 2011",,,,Forestry,Forestry,wood,material,
Pinus torreyana,Pinaceae,Pinus,torreyana,,,,,Pinus torreyana,Pinus torreyana,,Torrey Pine,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Native,US: CA,,,Khoury pers comm (2012)- related to iconic US species,,,,Forestry,Forestry,forestry,,
Pinus torreyana subsp. insularis,Pinaceae,Pinus,torreyana,subsp.,insularis,,,Pinus torreyana insularis,Pinus torreyana subsp. insularis,,,WUS,Non Priority,Non Priority,Category (3),Category (3),,,,,,,,,,WUS,,,Native,Native,,,,Khoury pers comm (2012)- related to iconic US species,,,,Forestry,Forestry,forestry,,
