Taxon,Family,Genus,species,rank 1,infraspecific 1,rank 2,infraspecific 2,Taxon 2019 final without ranks,Taxon_Khouryetal (2013),Taxon_GRIN Global_2019,CWR_WUS_common_name,Type,Priority 2013,Category 2019 very general,Category 2019 general,Category 2019,Category 2019 confirmed,GRIN Global CWR Primary,GRIN Global CWR Secondary,GRIN Global CWR Tertiary,GRIN Global CWR Graftstock,In GRIN Global  CWR 2019,For ex situ gap analysis,For in situ gap analysis,Note on relation 2019,Relation_to_crop_2013,GP_TG_2013,GP_TG_citation_2013,Occurrence general,Occurrence specific,Distribution_states,Nox_weed,Occurrence_notes,CWR_WUS_citation,Type,Associated_crop_taxon,Associated_crop_common name,Crop or WUS use_very general,Crop or WUS use_general,Crop or WUS use_1,Crop or WUS use_2,Crop or WUS use_3
Allium munzii,Amaryllidaceae,Allium,munzii,,,,,Allium munzii,Allium munzii,Allium munzii,Munz's Onion,CWR,Priority (1)B,Priority,Category (1),Category (1)C,Y,,,,,,Y,Y,"not in GRIN Tax CWR for onion, garlic or leek",Assume distant,,Harlan and de Wet CWR Database (2012),Native,Native,US: CA,,,Khoury et al. (2012) Crop prioritization method,CWR,Allium,"Onion, garlic, chives, etc.",Food and agriculture,Food,Vegetables,,
Allium nevii,Amaryllidaceae,Allium,nevii,,,,,Allium nevii,Allium nevii,Allium nevii,Nevius' Garlic,CWR,Priority (1)B,Priority,Category (1),Category (1)C,Y,,,,,,Y,Y,"not in GRIN Tax CWR for onion, garlic or leek",Assume distant,,Harlan and de Wet CWR Database (2012),Native,Native,"US: OR, WA",,,Khoury et al. (2012) Crop prioritization method,CWR,Allium,"Onion, garlic, chives, etc.",Food and agriculture,Food,Vegetables,,
Allium obtusum var. conspicuum,Amaryllidaceae,Allium,obtusum,var.,conspicuum,,,Allium obtusum conspicuum,Allium obtusum var. conspicuum,Allium obtusum var. conspicuum,Red Sierra Onion,CWR,Priority (1)B,Priority,Category (1),Category (1)C,Y,,,,,,Y,Y,"not in GRIN Tax CWR for onion, garlic or leek",Assume distant,,GRIN CWR Database (2012); Harlan and de Wet CWR Database (2012),Native,Native,US: CA,,,NSNDB 2010,CWR,Allium,"Onion, garlic, chives, etc.",Food and agriculture,Food,Vegetables,restoration,
Allium platycaule,Amaryllidaceae,Allium,platycaule,,,,,Allium platycaule,Allium platycaule,Allium platycaule,Broad-stem Onion,CWR,Priority (1)B,Priority,Category (1),Category (1)C,Y,,,,,,Y,Y,"not in GRIN Tax CWR for onion, garlic or leek",Assume distant,,GRIN CWR Database (2012); Harlan and de Wet CWR Database (2012),Native,Native,"US: CA, NV, OR",,,NSNDB 2010,CWR,Allium,"Onion, garlic, chives, etc.",Food and agriculture,Food,Vegetables,restoration,
Allium praecox,Amaryllidaceae,Allium,praecox,,,,,Allium praecox,Allium praecox,Allium praecox,early onion,CWR,Priority (1)B,Priority,Category (1),Category (1)C,Y,,,,,,Y,Y,"not in GRIN Tax CWR for onion, garlic or leek",Assume distant,,Harlan and de Wet CWR Database (2012),Native,Native,,,,NSNDB 2010,CWR,Allium,"Onion, garlic, chives, etc.",Food and agriculture,Food,Vegetables,restoration,
Allium robinsonii,Amaryllidaceae,Allium,robinsonii,,,,,Allium robinsonii,Allium robinsonii,Allium robinsonii,Robinson's Onion,CWR,Priority (1)B,Priority,Category (1),Category (1)C,Y,,,,,,Y,Y,"not in GRIN Tax CWR for onion, garlic or leek",Assume distant,,GRIN CWR Database (2012); Harlan and de Wet CWR Database (2012),Native,Native,"US: OR, WA",,,NSNDB 2010,CWR,Allium,"Onion, garlic, chives, etc.",Food and agriculture,Food,Vegetables,restoration,
Allium sanbornii,Amaryllidaceae,Allium,sanbornii,,,,,Allium sanbornii,Allium sanbornii,Allium sanbornii,Sanborn's Onion,CWR,Priority (1)B,Priority,Category (1),Category (1)C,Y,,,,,,Y,Y,"not in GRIN Tax CWR for onion, garlic or leek",Assume distant,,Harlan and de Wet CWR Database (2012),Native,Native,"US: CA, OR",,,Khoury et al. (2012) Crop prioritization method,CWR,Allium,"Onion, garlic, chives, etc.",Food and agriculture,Food,Vegetables,,
Allium schoenoprasum,Amaryllidaceae,Allium,schoenoprasum,,,,,Allium schoenoprasum,Allium schoenoprasum,Allium schoenoprasum,,CWR,Priority (1)A,Priority,Category (1),Category (1)B,Y,,,Y,,Y,Y,Y,,Close,GP(1B),Wiersema and León (1999); Harlan and de Wet CWR Database (2012),Native,Native,,,,Wiersema and León (1999),CWR,Allium,"Onion, garlic, chives, etc.",Food and agriculture,Food,Vegetables,medicinal,food additive
Allium schoenoprasum subsp. schoenoprasum,Amaryllidaceae,Allium,schoenoprasum,subsp.,schoenoprasum,,,Allium schoenoprasum schoenoprasum,Allium schoenoprasum subsp. schoenoprasum,Allium schoenoprasum subsp. schoenoprasum,,CWR,Priority (1)A,Priority,Category (1),Category (1)A,Y,,,,,,Y,Y,WUS- wild chives,Close,GP(1B),Harlan and de Wet CWR Database (2012),Native,Native,,,,Khoury et al. (2012) Crop prioritization method,CWR,Allium,"Onion, garlic, chives, etc.",Food and agriculture,Food,Vegetables,,
Allium scilloides,Amaryllidaceae,Allium,scilloides,,,,,Allium scilloides,Allium scilloides,Allium scilloides,Fragile Onion,CWR,Priority (1)B,Priority,Category (1),Category (1)C,Y,,,,,,Y,Y,"not in GRIN Tax CWR for onion, garlic or leek",Assume distant,,GRIN CWR Database (2012); Harlan and de Wet CWR Database (2012),Native,Native,US: WA,,,NSNDB 2010,CWR,Allium,"Onion, garlic, chives, etc.",Food and agriculture,Food,Vegetables,restoration,
Allium siskiyouense,Amaryllidaceae,Allium,siskiyouense,,,,,Allium siskiyouense,Allium siskiyouense,Allium siskiyouense,Siskiyou Onion,CWR,Priority (1)B,Priority,Category (1),Category (1)C,Y,,,,,,Y,Y,"not in GRIN Tax CWR for onion, garlic or leek",Assume distant,,Harlan and de Wet CWR Database (2012),Native,Native,"US: CA, OR",,,Khoury et al. (2012) Crop prioritization method,CWR,Allium,"Onion, garlic, chives, etc.",Food and agriculture,Food,Vegetables,,
Allium stellatum,Amaryllidaceae,Allium,stellatum,,,,,Allium stellatum,Allium stellatum,Allium stellatum,autumn onion,CWR,Priority (1)B,Priority,Category (1),Category (1)C,Y,,,,,,Y,Y,"not in GRIN Tax CWR for onion, garlic or leek",Assume distant,,Harlan and de Wet CWR Database (2012),Native,Native,,,,NSNDB 2010,CWR,Allium,"Onion, garlic, chives, etc.",Food and agriculture,Food,Vegetables,restoration,
Allium textile,Amaryllidaceae,Allium,textile,,,,,Allium textile,Allium textile,Allium textile,White Wild Onion,CWR,Priority (1)B,Priority,Category (1),Category (1)C,Y,,,,,,Y,Y,"not in GRIN Tax CWR for onion, garlic or leek",Assume distant,,Harlan and de Wet CWR Database (2012); Bradly pers comm (2011),Native,Native,"US: CO, IA, ID, KS, MN, MT, ND, NE, NM, NV, SD, UT, WA, WYCA: AB, MB, SK",,,"http://www.wy.blm.gov/jio-papo/jio/monitoring/RecommendedPlantList.pdf, http://www.blm.gov/pgdata/etc/medialib/blm/wy/field-offices/pinedale/papadocs.Par.36376.File.dat/AppxASagebrushSandy.pdf",CWR,Allium,"Onion, garlic, chives, etc.",Food and agriculture,Food,Vegetables,restoration,
